episode: 381, env_step_num = 36116, score = -103.39052451635989
episode: 382, env_step_num = 36207, score = -291.2419894616434
episode: 383, env_step_num = 36271, score = -119.26684699684617
episode: 384, env_step_num = 36338, score = -172.1876355120895
episode: 385, env_step_num = 36399, score = -83.53435243682458
episode: 386, env_step_num = 36494, score = -118.95768237535015
episode: 387, env_step_num = 36613, score = -333.3991705480399
episode: 388, env_step_num = 36694, score = -216.6140138196509
episode: 389, env_step_num = 36781, score = -84.37277028394871
episode: 390, env_step_num = 36866, score = -220.07117069868417
episode: 391, env_step_num = 37038, score = -113.9578473099077
episode: 392, env_step_num = 37161, score = -215.8038673057813
episode: 393, env_step_num = 37245, score = -74.12440815130824
episode: 394, env_step_num = 37357, score = -309.0315101687533
episode: 395, env_step_num = 37461, score = -311.54497979437247
episode: 396, env_step_num = 37559, score = -123.7753960920737
episode: 397, env_step_num = 37643, score = -75.60894382351267
episode: 398, env_step_num = 37751, score = -143.4583218953719
episode: 399, env_step_num = 37834, score = -352.39154269858693
target network updated.
episode: 400, env_step_num = 37951, score = -131.41220013895057
episode: 401, env_step_num = 38092, score = -255.6222694891545
episode: 402, env_step_num = 38179, score = -387.3628462894204
episode: 403, env_step_num = 38272, score = -172.38037969766467
episode: 404, env_step_num = 38374, score = -55.901587454211935
episode: 405, env_step_num = 38474, score = -403.52837682005395
episode: 406, env_step_num = 38566, score = -325.59361460697573
episode: 407, env_step_num = 38686, score = -426.5004417043158
episode: 408, env_step_num = 38763, score = -98.78146341676711
episode: 409, env_step_num = 38850, score = -208.22036971966347
episode: 410, env_step_num = 38968, score = -207.96317613571415
episode: 411, env_step_num = 39053, score = -115.24345712692742
episode: 412, env_step_num = 39115, score = -75.66602521203706
episode: 413, env_step_num = 39195, score = -196.07093752467068
episode: 414, env_step_num = 39283, score = -401.2017592736382
